Step,Action_Index,Indoor_Temp,Indoor_RH,Indoor_CO2,Outdoor_Temp,Outdoor_RH,Hour,AC_Status,Fan_Status,Next_Indoor_Temp,Next_Indoor_RH,Next_Indoor_CO2,Reward
151,9,25.436874,53.662186,449.59003,20.0,94.0,7.0,1.0,0.0,25.452366,49.63989,474.28256,-52.2
152,2,25.452366,49.63989,474.28256,21.0,88.0,8.0,1.0,0.0,23.44224,50.639908,526.6738,-52.2
153,5,23.44224,50.639908,526.6738,21.0,88.0,9.0,1.0,0.0,23.38756,51.51362,578.5846,-52.2
154,4,23.38756,51.51362,578.5846,22.0,83.0,10.0,1.0,0.0,23.193079,53.277466,629.6315,-52.2
155,11,23.193079,53.277466,629.6315,22.0,83.0,11.0,1.0,0.0,24.552423,54.75054,683.34503,-52.2
156,11,24.552423,54.75054,683.34503,23.0,78.0,12.0,1.0,0.0,25.180033,54.06394,731.4641,-52.2
157,2,25.180033,54.06394,731.4641,23.0,78.0,13.0,1.0,0.0,23.317057,54.84306,774.0765,-52.2
158,2,23.317057,54.84306,774.0765,24.0,74.0,14.0,1.0,0.0,23.109344,53.213856,820.3463,-54.26986312866211
159,11,23.109344,53.213856,820.3463,25.0,69.0,15.0,1.0,0.0,24.861675,55.764748,860.3733,-70.42466735839844
160,19,24.861675,55.764748,860.3733,25.0,69.0,16.0,1.0,0.0,25.340975,52.683754,628.07355,-56.115
161,3,25.340975,52.683754,628.07355,24.0,74.0,17.0,1.0,1.0,24.08633,48.138786,681.7871,-52.2
162,5,24.08633,48.138786,681.7871,23.0,78.0,18.0,1.0,0.0,23.90852,49.799255,698.9539,-52.2
163,12,23.90852,49.799255,698.9539,22.0,83.0,19.0,1.0,0.0,23.763277,51.519512,540.1351,-3.915
164,17,23.763277,51.519512,540.1351,21.0,88.0,20.0,0.0,1.0,23.02517,54.455265,476.26282,-56.115
165,23,23.02517,54.455265,476.26282,21.0,83.0,21.0,1.0,1.0,24.275759,52.347935,444.28006,-56.115
166,1,24.275759,52.347935,444.28006,21.0,83.0,22.0,1.0,1.0,22.751745,54.56716,480.98267,-52.2
167,15,22.751745,54.56716,480.98267,20.0,88.0,23.0,1.0,0.0,23.303751,56.11594,446.50635,-56.115
168,8,23.303751,56.11594,446.50635,20.0,88.0,0.0,1.0,1.0,24.098055,55.99296,471.9404,-52.2
169,4,24.098055,55.99296,471.9404,20.0,88.0,1.0,1.0,0.0,23.65584,57.583065,494.51865,-52.2
170,14,23.65584,57.583065,494.51865,20.0,88.0,2.0,1.0,0.0,23.408743,58.43717,452.72675,-56.115
171,3,23.408743,58.43717,452.72675,19.0,94.0,3.0,1.0,1.0,23.339836,59.237022,476.3865,-52.2
172,15,23.339836,59.237022,476.3865,19.0,94.0,4.0,1.0,0.0,23.142288,59.997448,446.2567,-56.115
173,10,23.142288,59.997448,446.2567,19.0,94.0,5.0,1.0,1.0,24.34207,58.99444,471.4833,-52.2
174,4,24.34207,58.99444,471.4833,19.0,94.0,6.0,1.0,0.0,24.084642,59.61767,494.06155,-52.2
175,19,24.084642,59.61767,494.06155,19.0,94.0,7.0,1.0,0.0,24.737255,55.66723,452.52106,-56.115
176,22,24.737255,55.66723,452.52106,20.0,88.0,8.0,1.0,1.0,25.10571,52.432217,447.5775,-56.115
177,7,25.10571,52.432217,447.5775,21.0,83.0,9.0,1.0,1.0,25.519152,51.758625,501.53662,-52.2
178,14,25.519152,51.758625,501.53662,21.0,83.0,10.0,1.0,0.0,23.501587,50.547092,469.05133,-56.115
179,6,23.501587,50.547092,469.05133,22.0,83.0,11.0,1.0,1.0,23.851185,50.389977,520.8905,-52.2
180,16,23.851185,50.389977,520.8905,22.0,83.0,12.0,1.0,0.0,23.598553,50.627296,477.76056,-56.115
181,14,23.598553,50.627296,477.76056,24.0,74.0,13.0,1.0,1.0,23.396027,48.962532,458.56833,-56.115
182,7,23.396027,48.962532,458.56833,24.0,74.0,14.0,1.0,1.0,24.587486,48.86053,510.57022,-52.2
183,21,24.587486,48.86053,510.57022,24.0,74.0,15.0,1.0,0.0,25.078634,48.559483,473.11642,-56.115
184,3,25.078634,48.559483,473.11642,24.0,74.0,16.0,1.0,1.0,23.774801,44.557465,524.9793,-52.2
185,20,23.774801,44.557465,524.9793,23.0,78.0,17.0,1.0,0.0,24.464783,45.472446,479.60052,-56.115
186,20,24.464783,45.472446,479.60052,23.0,78.0,18.0,1.0,1.0,24.914364,46.9375,445.8844,-56.115
187,2,24.914364,46.9375,445.8844,22.0,83.0,19.0,1.0,1.0,23.541245,48.02873,473.0305,-52.2
188,14,23.541245,48.02873,473.0305,22.0,83.0,20.0,1.0,0.0,23.036911,53.44849,444.6377,-56.115
189,4,23.036911,53.44849,444.6377,21.0,88.0,21.0,1.0,1.0,23.659084,57.435345,469.91873,-52.2
190,23,23.659084,57.435345,469.91873,21.0,88.0,22.0,1.0,0.0,24.117867,52.14269,441.62363,-56.115
191,20,24.117867,52.14269,441.62363,20.0,94.0,23.0,1.0,1.0,24.517384,54.09934,431.19,-56.115
192,23,24.517384,54.09934,431.19,20.0,94.0,0.0,1.0,1.0,25.211039,51.619152,425.5107,-56.115
193,12,25.211039,51.619152,425.5107,20.0,88.0,1.0,1.0,1.0,25.18882,52.431625,423.3295,-3.915
194,18,25.18882,52.431625,423.3295,20.0,88.0,2.0,0.0,1.0,24.560417,51.520233,422.9834,-56.115
195,21,24.560417,51.520233,422.9834,20.0,88.0,3.0,1.0,1.0,24.966568,52.201447,422.33438,-56.115
196,8,24.966568,52.201447,422.33438,20.0,94.0,4.0,1.0,1.0,25.393284,51.888184,448.98297,-52.2
197,10,25.393284,51.888184,448.98297,20.0,88.0,5.0,1.0,0.0,25.596025,52.9252,473.49683,-52.2
198,1,25.596025,52.9252,473.49683,20.0,94.0,6.0,1.0,0.0,23.416695,53.23736,495.57324,-52.2
199,20,23.416695,53.23736,495.57324,20.0,94.0,7.0,1.0,0.0,24.764772,49.604046,453.20132,-56.115
200,13,24.764772,49.604046,453.20132,20.0,94.0,8.0,1.0,1.0,23.240461,48.31641,447.88364,-56.115
201,2,23.240461,48.31641,447.88364,21.0,88.0,9.0,1.0,1.0,23.103592,47.876953,506.06168,-52.2
202,0,23.103592,47.876953,506.06168,22.0,88.0,10.0,1.0,0.0,23.342575,48.26763,557.9724,0.0
203,5,23.342575,48.26763,557.9724,22.0,88.0,11.0,0.0,0.0,22.632456,47.839195,610.018,-52.2
204,5,22.632456,47.839195,610.018,23.0,83.0,12.0,1.0,0.0,22.980734,47.666275,667.9956,-52.2
205,3,22.980734,47.666275,667.9956,23.0,89.0,13.0,1.0,0.0,22.394804,46.440693,716.80475,-52.2
206,14,22.394804,46.440693,716.80475,24.0,83.0,14.0,1.0,0.0,22.397684,46.309113,564.4276,-56.115
207,21,22.397684,46.309113,564.4276,24.0,83.0,15.0,1.0,1.0,24.54362,47.70989,495.90063,-56.115
208,8,24.54362,47.70989,495.90063,24.0,83.0,16.0,1.0,1.0,24.913809,48.42281,547.8114,-52.2
209,13,24.913809,48.42281,547.8114,23.0,83.0,17.0,1.0,0.0,23.16828,48.604324,492.76114,-56.115
210,0,23.16828,48.604324,492.76114,22.0,94.0,18.0,1.0,1.0,23.107271,50.698753,519.68195,0.0
211,14,23.107271,50.698753,519.68195,21.0,94.0,19.0,0.0,0.0,22.106405,51.348022,463.28568,-56.115
212,14,22.106405,51.348022,463.28568,21.0,94.0,20.0,1.0,1.0,21.902517,51.980446,434.7239,-56.12925720214844
213,2,21.902517,51.980446,434.7239,21.0,94.0,21.0,1.0,1.0,21.950129,53.00301,452.75452,-52.203731536865234
214,18,21.950129,53.00301,452.75452,21.0,94.0,22.0,1.0,0.0,23.121756,53.097202,436.30743,-56.115
215,20,23.121756,53.097202,436.30743,21.0,94.0,23.0,1.0,1.0,24.566645,54.40697,427.77167,-56.115
216,2,24.566645,54.40697,427.77167,21.0,94.0,0.0,1.0,1.0,23.441238,56.077755,453.6404,-52.2
217,7,23.441238,56.077755,453.6404,21.0,94.0,1.0,1.0,0.0,24.349562,54.538574,476.9257,-52.2
218,10,24.349562,54.538574,476.9257,21.0,94.0,2.0,1.0,0.0,24.845219,52.632572,499.063,-52.2
219,14,24.845219,52.632572,499.063,21.0,94.0,3.0,1.0,0.0,23.446318,52.35676,454.7717,-56.115
220,3,23.446318,52.35676,454.7717,21.0,94.0,4.0,1.0,1.0,23.156452,52.564888,481.62726,-52.2
221,23,23.156452,52.564888,481.62726,21.0,94.0,5.0,1.0,0.0,24.323881,50.43684,446.79642,-56.115
222,2,24.323881,50.43684,446.79642,21.0,100.0,6.0,1.0,1.0,23.31434,50.63041,471.9353,-52.2
223,17,23.31434,50.63041,471.9353,21.0,100.0,7.0,1.0,0.0,22.967606,51.977253,444.37073,-56.115
224,15,22.967606,51.977253,444.37073,22.0,100.0,8.0,1.0,1.0,23.003647,52.63962,446.0272,-56.115
225,0,23.003647,52.63962,446.0272,23.0,94.0,9.0,1.0,1.0,23.294113,53.91318,500.58008,0.0
226,23,23.294113,53.91318,500.58008,25.0,83.0,10.0,0.0,0.0,24.570444,49.16914,468.62088,-56.115
227,21,24.570444,49.16914,468.62088,27.0,74.0,11.0,1.0,1.0,25.332546,48.797295,454.207,-56.115
228,9,25.332546,48.797295,454.207,27.0,70.0,12.0,1.0,1.0,25.853233,50.791412,506.81186,-52.2
